gemeente;nis_code;postcode;mdc_apr-drg_28;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;5
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;27
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;40
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;176
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;187
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;153
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;19
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;57
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;49
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;515
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;19
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;7
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;220
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;236
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;37
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;35
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;48
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;15
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;35
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;35
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;8
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;24
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;9
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;9
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;23
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;546
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;20 Alcohol en druggebruik;Medisch;< 5
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;< 5
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;348
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;19
Aartselaar;11001.0;2630.0;24 HIV infecties;Medisch;< 5
Aartselaar;11001.0;2630.0;SS Speciale DRG's;Andere;8
Antwerpen;11002.0;2000.0;00 Restgroep;Chirurgisch;201
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Medisch;384
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Chirurgisch;1.202
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Medisch;45
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Chirurgisch;7.016
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Medisch;6.912
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Chirurgisch;6.393
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Medisch;537
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Chirurgisch;41
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Medisch;1.276
