commune;code_ins;code_postal;mdc_apr-drg_34;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Chirurgical;10
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;5
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;49
Aartselaar;11001.0;2630.0;02 Affections des yeux;Médical;9
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;201
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Médical;224
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Chirurgical;137
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;18
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;< 5
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;82
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;37
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;518
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;34
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Médical;6
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Médical;33
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Chirurgical;217
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;33
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;59
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritionnelles et métaboliques;Médical;< 5
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;62
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;15
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Médical;82
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Chirurgical;12
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Médical;16
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Chirurgical;33
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Médical;6
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Chirurgical;12
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Médical;22
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;470
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Chirurgical;< 5
Aartselaar;11001.0;2630.0;19 Troubles mentaux;Médical;15
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;< 5
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Médical;643
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Chirurgical;57
