gemeente;nis_code;postcode;mdc_apr-drg_36;soort_drg;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Andere;0
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;11
Aartselaar;11001.0;2630.0;00 Restgroep;Medisch;0
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;37
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;11
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;201
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;6
Aartselaar;11001.0;2630.0;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;86
Aartselaar;11001.0;2630.0;03 Neus, keel, oren, schedel en aangezicht;Medisch;273
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;0
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;22
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;50
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;102
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;33
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;478
Aartselaar;11001.0;2630.0;07 Hepatobiliair stelsel en pancreas;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;07 Hepatobiliair stelsel en pancreas;Medisch;14
Aartselaar;11001.0;2630.0;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;186
Aartselaar;11001.0;2630.0;08 Musculoskeletaal stelsel en bindweefsel;Medisch;27
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borst;Chirurgisch;78
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borst;Medisch;44
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;0
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;5
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;13
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;65
