gemeente;nis_code;postcode;mdc_apr-drg_28;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;28
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;151
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;36
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;23
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;62
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;32
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;163
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;12
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;186
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;109
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;121
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;100
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;37
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Chirurgisch;28
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;105
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;294
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;43
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;44
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;47
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;23
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;78
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;53
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;< 5
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;26
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;7
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;51
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;96
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;26
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Medisch;10
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;17
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;82
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Medisch;36
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;19 Psychische stoornissen;Medisch;22
Aartselaar;11001.0;2630.0;19 Psychische stoornissen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;20 Alcohol en druggebruik;Medisch;10
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;30
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;22 Brandwonden;Medisch;< 5
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;102
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;9
Aartselaar;11001.0;2630.0;25 Multipele traumata;Medisch;< 5
Aartselaar;11001.0;2630.0;25 Multipele traumata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;PP Pre-MDC;Chirurgisch;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Andere;18
Antwerpen;11002.0;2000.0;00 Restgroep;Chirurgisch;617
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Medisch;4.960
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Chirurgisch;659
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Medisch;204
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Chirurgisch;681
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Medisch;2.851
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Chirurgisch;1.860
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Medisch;6.329
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Chirurgisch;348
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Medisch;5.146
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Chirurgisch;3.360
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Medisch;5.189
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Chirurgisch;2.834
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Medisch;1.341
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Chirurgisch;986
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Medisch;2.700
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;8.535
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Medisch;1.476
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Chirurgisch;1.532
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;1.677
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;826
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Medisch;2.221
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Chirurgisch;1.375
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Medisch;222
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Chirurgisch;715
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Medisch;219
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;1.469
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Medisch;7.213
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Chirurgisch;1.761
Antwerpen;11002.0;2000.0;15 Neonati, perinatale aandoeningen;Medisch;378
Antwerpen;11002.0;2000.0;15 Neonati, perinatale aandoeningen;Chirurgisch;28
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Medisch;733
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Chirurgisch;42
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;1.766
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;152
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Medisch;1.320
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Chirurgisch;114
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Medisch;799
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Chirurgisch;17
Antwerpen;11002.0;2000.0;20 Alcohol en druggebruik;Medisch;560
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;928
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;178
Antwerpen;11002.0;2000.0;22 Brandwonden;Medisch;56
Antwerpen;11002.0;2000.0;22 Brandwonden;Chirurgisch;26
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Medisch;3.512
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;207
Antwerpen;11002.0;2000.0;24 HIV infecties;Medisch;90
Antwerpen;11002.0;2000.0;25 Multipele traumata;Medisch;40
Antwerpen;11002.0;2000.0;25 Multipele traumata;Chirurgisch;48
Antwerpen;11002.0;2000.0;PP Pre-MDC;Chirurgisch;179
Boechout;11004.0;2530.0;00 Restgroep;Chirurgisch;10
Boechout;11004.0;2530.0;01 Zenuwstelsel;Medisch;108
Boechout;11004.0;2530.0;01 Zenuwstelsel;Chirurgisch;12
Boechout;11004.0;2530.0;02 Oogaandoeningen;Medisch;6
Boechout;11004.0;2530.0;02 Oogaandoeningen;Chirurgisch;13
Boechout;11004.0;2530.0;03 Neus, keel en oren;Medisch;60
Boechout;11004.0;2530.0;03 Neus, keel en oren;Chirurgisch;35
Boechout;11004.0;2530.0;04 Ademhalingsstelsel;Medisch;127
Boechout;11004.0;2530.0;04 Ademhalingsstelsel;Chirurgisch;< 5
Boechout;11004.0;2530.0;05 Hart en vaatstelsel;Medisch;135
