gemeente;nis_code;postcode;mdc;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;7
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;12
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;26
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;170
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;185
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;159
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;12
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;21
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;44
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;348
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;19
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;< 5
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;299
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;196
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;7
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;60
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;47
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;8
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;31
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;32
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;5
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;47
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;5
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;11
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;15
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;240
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;7
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;102
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;24
Aartselaar;11001.0;2630.0;SS Speciale DRG's;Andere;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Andere;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Chirurgisch;170
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Medisch;597
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Chirurgisch;891
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Medisch;25
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Chirurgisch;6.588
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Medisch;5.111
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Chirurgisch;5.582
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Medisch;363
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Chirurgisch;63
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Medisch;438
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Chirurgisch;944
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Medisch;5.434
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Chirurgisch;868
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Medisch;256
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Chirurgisch;13
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Medisch;10.779
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;5.963
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Medisch;481
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Chirurgisch;1.821
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;67
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;21
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Medisch;1.017
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Chirurgisch;296
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Medisch;639
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Chirurgisch;2.209
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Medisch;91
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;1.883
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Medisch;447
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Chirurgisch;866
Antwerpen;11002.0;2000.0;15 Neonati, perinatale aandoeningen;Medisch;53
Antwerpen;11002.0;2000.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Medisch;1.376
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Chirurgisch;70
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;13.276
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;77
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Medisch;26
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Chirurgisch;12
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Medisch;30
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Chirurgisch;< 5
Antwerpen;11002.0;2000.0;20 Alcohol en druggebruik;Medisch;56
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;166
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;175
Antwerpen;11002.0;2000.0;22 Brandwonden;Medisch;5
Antwerpen;11002.0;2000.0;22 Brandwonden;Chirurgisch;6
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Medisch;1.999
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;881
Antwerpen;11002.0;2000.0;24 HIV infecties;Medisch;14
Antwerpen;11002.0;2000.0;24 HIV infecties;Chirurgisch;< 5
Antwerpen;11002.0;2000.0;SS Speciale DRG's;Andere;39
Antwerpen;11002.0;2000.0;p3 Pre-MDC : tracheostomie;Chirurgisch;< 5
Boechout;11004.0;2530.0;00 Restgroep;Chirurgisch;7
Boechout;11004.0;2530.0;01 Zenuwstelsel;Medisch;21
Boechout;11004.0;2530.0;01 Zenuwstelsel;Chirurgisch;36
Boechout;11004.0;2530.0;02 Oogaandoeningen;Chirurgisch;141
Boechout;11004.0;2530.0;03 Neus, keel en oren;Medisch;147
Boechout;11004.0;2530.0;03 Neus, keel en oren;Chirurgisch;154
Boechout;11004.0;2530.0;04 Ademhalingsstelsel;Medisch;< 5
Boechout;11004.0;2530.0;04 Ademhalingsstelsel;Chirurgisch;< 5
Boechout;11004.0;2530.0;05 Hart en vaatstelsel;Medisch;16
Boechout;11004.0;2530.0;05 Hart en vaatstelsel;Chirurgisch;28
Boechout;11004.0;2530.0;06 Spijsverteringsstelsel;Medisch;141
Boechout;11004.0;2530.0;06 Spijsverteringsstelsel;Chirurgisch;23
Boechout;11004.0;2530.0;07 Lever, gal en pancreas;Medisch;< 5
Boechout;11004.0;2530.0;08 Bewegingsstelsel en bindweefsel;Medisch;203
Boechout;11004.0;2530.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;154
Boechout;11004.0;2530.0;09 Huid, subcutis, borstklier;Medisch;< 5
Boechout;11004.0;2530.0;09 Huid, subcutis, borstklier;Chirurgisch;35
Boechout;11004.0;2530.0;11 Nieren en urinewegen;Medisch;31
Boechout;11004.0;2530.0;11 Nieren en urinewegen;Chirurgisch;7
Boechout;11004.0;2530.0;12 Mannelijke geslachtsorganen;Medisch;21
Boechout;11004.0;2530.0;12 Mannelijke geslachtsorganen;Chirurgisch;28
Boechout;11004.0;2530.0;13 Vrouwelijke geslachtsorganen;Medisch;< 5
Boechout;11004.0;2530.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;50
Boechout;11004.0;2530.0;14 Zwangerschap en bevalling;Medisch;5
Boechout;11004.0;2530.0;14 Zwangerschap en bevalling;Chirurgisch;15
Boechout;11004.0;2530.0;15 Neonati, perinatale aandoeningen;Medisch;< 5
Boechout;11004.0;2530.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Boechout;11004.0;2530.0;16 Bloed en bloedvormende organen;Medisch;13
Boechout;11004.0;2530.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Boechout;11004.0;2530.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;276
Boechout;11004.0;2530.0;18 Infectie en parasitaire ziekten;Medisch;< 5
Boechout;11004.0;2530.0;20 Alcohol en druggebruik;Medisch;< 5
Boechout;11004.0;2530.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;< 5
Boechout;11004.0;2530.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;5
Boechout;11004.0;2530.0;23 Factoren die de gezondheid beïnvloeden;Medisch;85
Boechout;11004.0;2530.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;23
Boom;11005.0;2850.0;00 Restgroep;Chirurgisch;7
Boom;11005.0;2850.0;01 Zenuwstelsel;Medisch;28
Boom;11005.0;2850.0;01 Zenuwstelsel;Chirurgisch;46
Boom;11005.0;2850.0;02 Oogaandoeningen;Medisch;< 5
Boom;11005.0;2850.0;02 Oogaandoeningen;Chirurgisch;228
Boom;11005.0;2850.0;03 Neus, keel en oren;Medisch;177
Boom;11005.0;2850.0;03 Neus, keel en oren;Chirurgisch;191
Boom;11005.0;2850.0;04 Ademhalingsstelsel;Medisch;9
Boom;11005.0;2850.0;04 Ademhalingsstelsel;Chirurgisch;< 5
Boom;11005.0;2850.0;05 Hart en vaatstelsel;Medisch;21
