gemeente;nis_code;postcode;mdc_apr-drg_36;soort_drg;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Andere;0
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;18
Aartselaar;11001.0;2630.0;00 Restgroep;Medisch;0
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;26
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;147
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;14
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;44
Aartselaar;11001.0;2630.0;03 Neus, keel, oren, schedel en aangezicht;Medisch;92
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;8
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;143
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;126
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;147
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;97
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;117
Aartselaar;11001.0;2630.0;07 Hepatobiliair stelsel en pancreas;Chirurgisch;26
Aartselaar;11001.0;2630.0;07 Hepatobiliair stelsel en pancreas;Medisch;30
Aartselaar;11001.0;2630.0;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;229
Aartselaar;11001.0;2630.0;08 Musculoskeletaal stelsel en bindweefsel;Medisch;67
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borst;Chirurgisch;40
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borst;Medisch;27
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;22
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;35
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;36
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;64
