gemeente;nis_code;postcode;mdc_apr-drg_28;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;29
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;33
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;212
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;221
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;161
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;25
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;35
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;35
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;440
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;20
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;16
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;296
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;254
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;43
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;29
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;46
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;9
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;46
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;36
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;23
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;35
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;5
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;19
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;22
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;557
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;20 Alcohol en druggebruik;Medisch;< 5
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;7
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;7
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;280
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;28
Aartselaar;11001.0;2630.0;SS Speciale DRG's;Andere;23
Antwerpen;11002.0;2000.0;00 Restgroep;Andere;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Chirurgisch;206
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Medisch;571
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Chirurgisch;1.039
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Medisch;53
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Chirurgisch;6.560
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Medisch;6.416
