gemeente;nis_code;postcode;mdc_apr-drg_36;soort_drg;aantal_verblijven
Aartselaar;11001.0;2630.0;00 - Restgroep;Andere;0
Aartselaar;11001.0;2630.0;00 - Restgroep;Chirurgisch;19
Aartselaar;11001.0;2630.0;00 - Restgroep;Medisch;0
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Chirurgisch;16
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Medisch;123
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Chirurgisch;10
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;03 - Neus, keel, oren, schedel en aangezicht;Chirurgisch;33
Aartselaar;11001.0;2630.0;03 - Neus, keel, oren, schedel en aangezicht;Medisch;88
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Chirurgisch;5
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Medisch;129
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Chirurgisch;126
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Medisch;101
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Chirurgisch;96
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Medisch;98
Aartselaar;11001.0;2630.0;07 - Hepatobiliair stelsel en pancreas;Chirurgisch;22
Aartselaar;11001.0;2630.0;07 - Hepatobiliair stelsel en pancreas;Medisch;38
Aartselaar;11001.0;2630.0;08 - Musculoskeletaal stelsel en bindweefsel;Chirurgisch;235
Aartselaar;11001.0;2630.0;08 - Musculoskeletaal stelsel en bindweefsel;Medisch;55
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borst;Chirurgisch;33
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borst;Medisch;30
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;21
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Medisch;43
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Chirurgisch;35
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Medisch;61
Aartselaar;11001.0;2630.0;12 - Mannelijk voortplantingsstelsel;Chirurgisch;22
Aartselaar;11001.0;2630.0;12 - Mannelijk voortplantingsstelsel;Medisch;7
Aartselaar;11001.0;2630.0;13 - Vrouwelijk voortplantingsstelsel;Chirurgisch;27
Aartselaar;11001.0;2630.0;13 - Vrouwelijk voortplantingsstelsel;Medisch;9
Aartselaar;11001.0;2630.0;14 - Zwangerschap, bevalling en puerperium;Chirurgisch;45
Aartselaar;11001.0;2630.0;14 - Zwangerschap, bevalling en puerperium;Medisch;84
Aartselaar;11001.0;2630.0;15 - Neonati - Perinatale aandoeningen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;15 - Neonati - Perinatale aandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;16 - Bloed, bloedvormende organen en immuunsysteem;Chirurgisch;0
Aartselaar;11001.0;2630.0;16 - Bloed, bloedvormende organen en immuunsysteem;Medisch;25
Aartselaar;11001.0;2630.0;17 - Lymfatische, hematopoëtische en andere maligne aandoeningen, chemo- en radiotherapie;Chirurgisch;5
Aartselaar;11001.0;2630.0;17 - Lymfatische, hematopoëtische en andere maligne aandoeningen, chemo- en radiotherapie;Medisch;15
Aartselaar;11001.0;2630.0;18 - Infectieuze en parasitaire ziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;18 - Infectieuze en parasitaire ziekten;Medisch;27
Aartselaar;11001.0;2630.0;19 - Psychische stoornissen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;19 - Psychische stoornissen;Medisch;14
Aartselaar;11001.0;2630.0;20 - Alcohol en druggebruik;Chirurgisch;0
Aartselaar;11001.0;2630.0;20 - Alcohol en druggebruik;Medisch;11
Aartselaar;11001.0;2630.0;21 - Vergiftigingen, toxische effecten en andere letsels en complicaties van behandeling;Chirurgisch;7
Aartselaar;11001.0;2630.0;21 - Vergiftigingen, toxische effecten en andere letsels en complicaties van behandeling;Medisch;20
Aartselaar;11001.0;2630.0;22 - Brandwonden;Chirurgisch;0
Aartselaar;11001.0;2630.0;22 - Brandwonden;Medisch;< 5
Aartselaar;11001.0;2630.0;23 - Revalidatie, nazorg, andere factoren die de gezondheid beïnvloeden;Chirurgisch;5
Aartselaar;11001.0;2630.0;23 - Revalidatie, nazorg, andere factoren die de gezondheid beïnvloeden;Medisch;45
Aartselaar;11001.0;2630.0;24 - HIV infecties;Chirurgisch;0
Aartselaar;11001.0;2630.0;24 - HIV infecties;Medisch;0
Aartselaar;11001.0;2630.0;25 - Multipele significante traumata;Chirurgisch;0
Aartselaar;11001.0;2630.0;25 - Multipele significante traumata;Medisch;0
Aartselaar;11001.0;2630.0;PP - pre-MDC;Andere;0
Aartselaar;11001.0;2630.0;PP - pre-MDC;Chirurgisch;5
Aartselaar;11001.0;2630.0;PP - pre-MDC;Medisch;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Andere;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Chirurgisch;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Medisch;0
Antwerpen;11002.0;2000.0;00 - Restgroep;Andere;< 5
Antwerpen;11002.0;2000.0;00 - Restgroep;Chirurgisch;596
Antwerpen;11002.0;2000.0;00 - Restgroep;Medisch;0
Antwerpen;11002.0;2000.0;01 - Zenuwstelsel;Chirurgisch;479
Antwerpen;11002.0;2000.0;01 - Zenuwstelsel;Medisch;4.254
Antwerpen;11002.0;2000.0;02 - Oogaandoeningen;Chirurgisch;205
Antwerpen;11002.0;2000.0;02 - Oogaandoeningen;Medisch;165
Antwerpen;11002.0;2000.0;03 - Neus, keel, oren, schedel en aangezicht;Chirurgisch;1.442
Antwerpen;11002.0;2000.0;03 - Neus, keel, oren, schedel en aangezicht;Medisch;2.565
Antwerpen;11002.0;2000.0;04 - Ademhalingsstelsel;Chirurgisch;245
Antwerpen;11002.0;2000.0;04 - Ademhalingsstelsel;Medisch;6.174
Antwerpen;11002.0;2000.0;05 - Hart en vaatstelsel;Chirurgisch;3.209
Antwerpen;11002.0;2000.0;05 - Hart en vaatstelsel;Medisch;3.558
