gemeente;nis_code;postcode;mdc;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;10
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;158
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;23
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;7
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;25
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;58
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;35
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;185
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;15
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;177
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;125
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;113
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;105
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;28
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Chirurgisch;32
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;76
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;269
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;34
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;44
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;42
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;15
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;64
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;45
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;5
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;31
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;< 5
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;64
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;116
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;28
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Medisch;15
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;14
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;66
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;6
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Medisch;23
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;19 Psychische stoornissen;Medisch;18
Aartselaar;11001.0;2630.0;20 Alcohol en druggebruik;Medisch;< 5
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;25
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;13
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;61
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;9
Aartselaar;11001.0;2630.0;24 HIV infecties;Medisch;< 5
Aartselaar;11001.0;2630.0;25 Multipele traumata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;p2 Pre-MDC : beenmergtransplantatie;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;p3 Pre-MDC : tracheostomie;Chirurgisch;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Andere;5
Antwerpen;11002.0;2000.0;00 Restgroep;Chirurgisch;518
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Medisch;4.833
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Chirurgisch;573
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Medisch;180
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Chirurgisch;739
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Medisch;2.495
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Chirurgisch;1.745
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Medisch;6.205
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Chirurgisch;370
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Medisch;5.417
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Chirurgisch;3.655
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Medisch;4.889
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Chirurgisch;3.044
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Medisch;1.203
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Chirurgisch;965
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Medisch;2.896
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;8.598
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Medisch;1.243
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Chirurgisch;1.450
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;1.852
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;936
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Medisch;2.162
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Chirurgisch;1.348
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Medisch;216
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Chirurgisch;739
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Medisch;197
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;1.746
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Medisch;7.011
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Chirurgisch;1.554
Antwerpen;11002.0;2000.0;15 Neonati, perinatale aandoeningen;Medisch;612
Antwerpen;11002.0;2000.0;15 Neonati, perinatale aandoeningen;Chirurgisch;23
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Medisch;786
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Chirurgisch;63
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;1.886
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;165
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Medisch;1.339
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Chirurgisch;128
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Medisch;819
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Chirurgisch;29
Antwerpen;11002.0;2000.0;20 Alcohol en druggebruik;Medisch;458
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;823
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;296
Antwerpen;11002.0;2000.0;22 Brandwonden;Medisch;69
Antwerpen;11002.0;2000.0;22 Brandwonden;Chirurgisch;35
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Medisch;3.202
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;165
Antwerpen;11002.0;2000.0;24 HIV infecties;Medisch;93
Antwerpen;11002.0;2000.0;24 HIV infecties;Chirurgisch;24
Antwerpen;11002.0;2000.0;25 Multipele traumata;Medisch;25
Antwerpen;11002.0;2000.0;25 Multipele traumata;Chirurgisch;40
Antwerpen;11002.0;2000.0;p1 Pre-MDC : levertransplantatie;Chirurgisch;6
Antwerpen;11002.0;2000.0;p2 Pre-MDC : beenmergtransplantatie;Chirurgisch;42
Antwerpen;11002.0;2000.0;p3 Pre-MDC : tracheostomie;Chirurgisch;168
Antwerpen;11002.0;2000.0;p4 Pre-MDC : hard en/of long transplantatie;Chirurgisch;6
Boechout;11004.0;2530.0;00 Restgroep;Chirurgisch;7
Boechout;11004.0;2530.0;01 Zenuwstelsel;Medisch;140
Boechout;11004.0;2530.0;01 Zenuwstelsel;Chirurgisch;12
Boechout;11004.0;2530.0;02 Oogaandoeningen;Medisch;< 5
Boechout;11004.0;2530.0;02 Oogaandoeningen;Chirurgisch;10
Boechout;11004.0;2530.0;03 Neus, keel en oren;Medisch;56
Boechout;11004.0;2530.0;03 Neus, keel en oren;Chirurgisch;45
Boechout;11004.0;2530.0;04 Ademhalingsstelsel;Medisch;120
Boechout;11004.0;2530.0;04 Ademhalingsstelsel;Chirurgisch;12
Boechout;11004.0;2530.0;05 Hart en vaatstelsel;Medisch;138
Boechout;11004.0;2530.0;05 Hart en vaatstelsel;Chirurgisch;72
Boechout;11004.0;2530.0;06 Spijsverteringsstelsel;Medisch;110
Boechout;11004.0;2530.0;06 Spijsverteringsstelsel;Chirurgisch;84
Boechout;11004.0;2530.0;07 Lever, gal en pancreas;Medisch;20
Boechout;11004.0;2530.0;07 Lever, gal en pancreas;Chirurgisch;20
Boechout;11004.0;2530.0;08 Bewegingsstelsel en bindweefsel;Medisch;71
Boechout;11004.0;2530.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;244
Boechout;11004.0;2530.0;09 Huid, subcutis, borstklier;Medisch;27
Boechout;11004.0;2530.0;09 Huid, subcutis, borstklier;Chirurgisch;31
Boechout;11004.0;2530.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;30
Boechout;11004.0;2530.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;22
Boechout;11004.0;2530.0;11 Nieren en urinewegen;Medisch;43
Boechout;11004.0;2530.0;11 Nieren en urinewegen;Chirurgisch;47
Boechout;11004.0;2530.0;12 Mannelijke geslachtsorganen;Medisch;< 5
Boechout;11004.0;2530.0;12 Mannelijke geslachtsorganen;Chirurgisch;21
Boechout;11004.0;2530.0;13 Vrouwelijke geslachtsorganen;Medisch;< 5
Boechout;11004.0;2530.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;49
Boechout;11004.0;2530.0;14 Zwangerschap en bevalling;Medisch;129
Boechout;11004.0;2530.0;14 Zwangerschap en bevalling;Chirurgisch;20
Boechout;11004.0;2530.0;15 Neonati, perinatale aandoeningen;Medisch;6
Boechout;11004.0;2530.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Boechout;11004.0;2530.0;16 Bloed en bloedvormende organen;Medisch;22
Boechout;11004.0;2530.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Boechout;11004.0;2530.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;54
Boechout;11004.0;2530.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;7
Boechout;11004.0;2530.0;18 Infectie en parasitaire ziekten;Medisch;35
Boechout;11004.0;2530.0;18 Infectie en parasitaire ziekten;Chirurgisch;< 5
Boechout;11004.0;2530.0;19 Psychische stoornissen;Medisch;16
Boechout;11004.0;2530.0;20 Alcohol en druggebruik;Medisch;< 5
Boechout;11004.0;2530.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;17
Boechout;11004.0;2530.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;8
Boechout;11004.0;2530.0;23 Factoren die de gezondheid beïnvloeden;Medisch;58
Boechout;11004.0;2530.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;< 5
Boechout;11004.0;2530.0;25 Multipele traumata;Chirurgisch;< 5
Boechout;11004.0;2530.0;p2 Pre-MDC : beenmergtransplantatie;Chirurgisch;< 5
Boechout;11004.0;2530.0;p3 Pre-MDC : tracheostomie;Chirurgisch;< 5
Boechout;11004.0;2530.0;p4 Pre-MDC : hard en/of long transplantatie;Chirurgisch;< 5
Boom;11005.0;2850.0;00 Restgroep;Chirurgisch;20
Boom;11005.0;2850.0;01 Zenuwstelsel;Medisch;163
Boom;11005.0;2850.0;01 Zenuwstelsel;Chirurgisch;32
Boom;11005.0;2850.0;02 Oogaandoeningen;Medisch;10
Boom;11005.0;2850.0;02 Oogaandoeningen;Chirurgisch;18
Boom;11005.0;2850.0;03 Neus, keel en oren;Medisch;70
Boom;11005.0;2850.0;03 Neus, keel en oren;Chirurgisch;53
Boom;11005.0;2850.0;04 Ademhalingsstelsel;Medisch;201
Boom;11005.0;2850.0;04 Ademhalingsstelsel;Chirurgisch;16
Boom;11005.0;2850.0;05 Hart en vaatstelsel;Medisch;236
Boom;11005.0;2850.0;05 Hart en vaatstelsel;Chirurgisch;183
Boom;11005.0;2850.0;06 Spijsverteringsstelsel;Medisch;176
Boom;11005.0;2850.0;06 Spijsverteringsstelsel;Chirurgisch;126
Boom;11005.0;2850.0;07 Lever, gal en pancreas;Medisch;57
Boom;11005.0;2850.0;07 Lever, gal en pancreas;Chirurgisch;47
Boom;11005.0;2850.0;08 Bewegingsstelsel en bindweefsel;Medisch;143
Boom;11005.0;2850.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;377
Boom;11005.0;2850.0;09 Huid, subcutis, borstklier;Medisch;41
Boom;11005.0;2850.0;09 Huid, subcutis, borstklier;Chirurgisch;53
Boom;11005.0;2850.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;67
Boom;11005.0;2850.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;24
Boom;11005.0;2850.0;11 Nieren en urinewegen;Medisch;85
Boom;11005.0;2850.0;11 Nieren en urinewegen;Chirurgisch;67
Boom;11005.0;2850.0;12 Mannelijke geslachtsorganen;Medisch;13
Boom;11005.0;2850.0;12 Mannelijke geslachtsorganen;Chirurgisch;23
Boom;11005.0;2850.0;13 Vrouwelijke geslachtsorganen;Medisch;11
Boom;11005.0;2850.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;76
Boom;11005.0;2850.0;14 Zwangerschap en bevalling;Medisch;237
Boom;11005.0;2850.0;14 Zwangerschap en bevalling;Chirurgisch;44
Boom;11005.0;2850.0;15 Neonati, perinatale aandoeningen;Medisch;23
Boom;11005.0;2850.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Boom;11005.0;2850.0;16 Bloed en bloedvormende organen;Medisch;33
Boom;11005.0;2850.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;65
Boom;11005.0;2850.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;9
Boom;11005.0;2850.0;18 Infectie en parasitaire ziekten;Medisch;40
Boom;11005.0;2850.0;18 Infectie en parasitaire ziekten;Chirurgisch;6
Boom;11005.0;2850.0;19 Psychische stoornissen;Medisch;24
Boom;11005.0;2850.0;20 Alcohol en druggebruik;Medisch;22
Boom;11005.0;2850.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;39
Boom;11005.0;2850.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;12
Boom;11005.0;2850.0;22 Brandwonden;Medisch;< 5
Boom;11005.0;2850.0;23 Factoren die de gezondheid beïnvloeden;Medisch;106
Boom;11005.0;2850.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;< 5
Boom;11005.0;2850.0;24 HIV infecties;Medisch;< 5
Boom;11005.0;2850.0;25 Multipele traumata;Chirurgisch;< 5
Boom;11005.0;2850.0;p1 Pre-MDC : levertransplantatie;Chirurgisch;< 5
Boom;11005.0;2850.0;p2 Pre-MDC : beenmergtransplantatie;Chirurgisch;< 5
Boom;11005.0;2850.0;p3 Pre-MDC : tracheostomie;Chirurgisch;6
Borsbeek;11007.0;2150.0;00 Restgroep;Chirurgisch;10
Borsbeek;11007.0;2150.0;01 Zenuwstelsel;Medisch;104
Borsbeek;11007.0;2150.0;01 Zenuwstelsel;Chirurgisch;6
Borsbeek;11007.0;2150.0;02 Oogaandoeningen;Medisch;6
Borsbeek;11007.0;2150.0;02 Oogaandoeningen;Chirurgisch;8
Borsbeek;11007.0;2150.0;03 Neus, keel en oren;Medisch;41
Borsbeek;11007.0;2150.0;03 Neus, keel en oren;Chirurgisch;36
Borsbeek;11007.0;2150.0;04 Ademhalingsstelsel;Medisch;115
Borsbeek;11007.0;2150.0;04 Ademhalingsstelsel;Chirurgisch;8
Borsbeek;11007.0;2150.0;05 Hart en vaatstelsel;Medisch;125
Borsbeek;11007.0;2150.0;05 Hart en vaatstelsel;Chirurgisch;75
Borsbeek;11007.0;2150.0;06 Spijsverteringsstelsel;Medisch;120
Borsbeek;11007.0;2150.0;06 Spijsverteringsstelsel;Chirurgisch;71
Borsbeek;11007.0;2150.0;07 Lever, gal en pancreas;Medisch;36
Borsbeek;11007.0;2150.0;07 Lever, gal en pancreas;Chirurgisch;23
Borsbeek;11007.0;2150.0;08 Bewegingsstelsel en bindweefsel;Medisch;58
Borsbeek;11007.0;2150.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;205
Borsbeek;11007.0;2150.0;09 Huid, subcutis, borstklier;Medisch;20
Borsbeek;11007.0;2150.0;09 Huid, subcutis, borstklier;Chirurgisch;42
Borsbeek;11007.0;2150.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;25
Borsbeek;11007.0;2150.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;16
Borsbeek;11007.0;2150.0;11 Nieren en urinewegen;Medisch;33
Borsbeek;11007.0;2150.0;11 Nieren en urinewegen;Chirurgisch;30
Borsbeek;11007.0;2150.0;12 Mannelijke geslachtsorganen;Medisch;< 5
Borsbeek;11007.0;2150.0;12 Mannelijke geslachtsorganen;Chirurgisch;16
Borsbeek;11007.0;2150.0;13 Vrouwelijke geslachtsorganen;Medisch;< 5
Borsbeek;11007.0;2150.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;22
Borsbeek;11007.0;2150.0;14 Zwangerschap en bevalling;Medisch;121
Borsbeek;11007.0;2150.0;14 Zwangerschap en bevalling;Chirurgisch;19
Borsbeek;11007.0;2150.0;15 Neonati, perinatale aandoeningen;Medisch;6
Borsbeek;11007.0;2150.0;16 Bloed en bloedvormende organen;Medisch;8
Borsbeek;11007.0;2150.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Borsbeek;11007.0;2150.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;26
Borsbeek;11007.0;2150.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;5
Borsbeek;11007.0;2150.0;18 Infectie en parasitaire ziekten;Medisch;27
Borsbeek;11007.0;2150.0;18 Infectie en parasitaire ziekten;Chirurgisch;< 5
Borsbeek;11007.0;2150.0;19 Psychische stoornissen;Medisch;19
Borsbeek;11007.0;2150.0;20 Alcohol en druggebruik;Medisch;8
Borsbeek;11007.0;2150.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;9
Borsbeek;11007.0;2150.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;7
Borsbeek;11007.0;2150.0;23 Factoren die de gezondheid beïnvloeden;Medisch;67
Borsbeek;11007.0;2150.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;5
Borsbeek;11007.0;2150.0;25 Multipele traumata;Medisch;< 5
Borsbeek;11007.0;2150.0;p3 Pre-MDC : tracheostomie;Chirurgisch;< 5
Brasschaat;11008.0;2930.0;00 Restgroep;Chirurgisch;28
Brasschaat;11008.0;2930.0;01 Zenuwstelsel;Medisch;330
Brasschaat;11008.0;2930.0;01 Zenuwstelsel;Chirurgisch;49
Brasschaat;11008.0;2930.0;02 Oogaandoeningen;Medisch;9
Brasschaat;11008.0;2930.0;02 Oogaandoeningen;Chirurgisch;59
Brasschaat;11008.0;2930.0;03 Neus, keel en oren;Medisch;167
Brasschaat;11008.0;2930.0;03 Neus, keel en oren;Chirurgisch;147
Brasschaat;11008.0;2930.0;04 Ademhalingsstelsel;Medisch;422
Brasschaat;11008.0;2930.0;04 Ademhalingsstelsel;Chirurgisch;16
Brasschaat;11008.0;2930.0;05 Hart en vaatstelsel;Medisch;457
Brasschaat;11008.0;2930.0;05 Hart en vaatstelsel;Chirurgisch;243
Brasschaat;11008.0;2930.0;06 Spijsverteringsstelsel;Medisch;301
Brasschaat;11008.0;2930.0;06 Spijsverteringsstelsel;Chirurgisch;227
Brasschaat;11008.0;2930.0;07 Lever, gal en pancreas;Medisch;84
