gemeente;nis_code;postcode;mdc;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;01  Zenuwstelsel;Medisch;14
Aartselaar;11001.0;2630.0;01  Zenuwstelsel;Chirurgisch;26
Aartselaar;11001.0;2630.0;02  Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;02  Oogaandoeningen;Chirurgisch;165
Aartselaar;11001.0;2630.0;03  Neus, keel en oren;Medisch;181
Aartselaar;11001.0;2630.0;03  Neus, keel en oren;Chirurgisch;133
Aartselaar;11001.0;2630.0;04  Ademhalingsstelsel;Medisch;11
Aartselaar;11001.0;2630.0;04  Ademhalingsstelsel;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;05  Hart en vaatstelsel;Medisch;23
Aartselaar;11001.0;2630.0;05  Hart en vaatstelsel;Chirurgisch;40
Aartselaar;11001.0;2630.0;06  Spijsverteringsstelsel;Medisch;359
Aartselaar;11001.0;2630.0;06  Spijsverteringsstelsel;Chirurgisch;14
Aartselaar;11001.0;2630.0;07  Lever, gal en pancreas;Medisch;6
Aartselaar;11001.0;2630.0;08  Bewegingsstelsel en bindweefsel;Medisch;227
Aartselaar;11001.0;2630.0;08  Bewegingsstelsel en bindweefsel;Chirurgisch;200
Aartselaar;11001.0;2630.0;09  Huid, subcutis, borstklier;Medisch;15
Aartselaar;11001.0;2630.0;09  Huid, subcutis, borstklier;Chirurgisch;54
Aartselaar;11001.0;2630.0;11  Nieren en urinewegen;Medisch;36
Aartselaar;11001.0;2630.0;11  Nieren en urinewegen;Chirurgisch;15
Aartselaar;11001.0;2630.0;12  Mannelijke geslachtsorganen;Medisch;34
Aartselaar;11001.0;2630.0;12  Mannelijke geslachtsorganen;Chirurgisch;42
Aartselaar;11001.0;2630.0;13  Vrouwelijke geslachtsorganen;Medisch;< 5
Aartselaar;11001.0;2630.0;13  Vrouwelijke geslachtsorganen;Chirurgisch;58
Aartselaar;11001.0;2630.0;14  Zwangerschap en bevalling;Medisch;9
Aartselaar;11001.0;2630.0;14  Zwangerschap en bevalling;Chirurgisch;13
Aartselaar;11001.0;2630.0;16  Bloed en bloedvormende organen;Medisch;44
Aartselaar;11001.0;2630.0;16  Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17  Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;446
Aartselaar;11001.0;2630.0;17  Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;18  Infectie en parasitaire ziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;20  Alcohol en druggebruik;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;21  Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;9
