commune;code_ins;code_postal;mdc_apr-drg_28;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Chirurgical;20
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;140
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;20
Aartselaar;11001.0;2630.0;02 Affections des yeux;Médical;6
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;19
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Médical;71
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Chirurgical;38
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;149
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;5
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;157
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;139
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;123
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;92
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Médical;43
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Chirurgical;32
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Médical;68
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Chirurgical;284
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;41
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;48
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;48
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;9
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;65
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;54
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Médical;< 5
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Chirurgical;26
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Médical;5
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Chirurgical;39
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Médical;89
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Chirurgical;38
Aartselaar;11001.0;2630.0;15 Nouveau-nés, affections d'origine périnatale;Médical;8
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Médical;13
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Chirurgical;< 5
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;57
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Médical;35
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Chirurgical;6
Aartselaar;11001.0;2630.0;19 Troubles mentaux;Médical;21
Aartselaar;11001.0;2630.0;20 Alcoolisme et usage de drogue;Médical;8
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;27
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;6
Aartselaar;11001.0;2630.0;22 Brûlures;Médical;< 5
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Médical;97
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Chirurgical;5
Aartselaar;11001.0;2630.0;25 Traumatismes multiples;Médical;< 5
Aartselaar;11001.0;2630.0;25 Traumatismes multiples;Chirurgical;< 5
Aartselaar;11001.0;2630.0;PP Pré-MDC;Chirurgical;5
Anvers;11002.0;2000.0;00 Groupe résiduel;Autre;5
