commune;code_ins;code_postal;mdc_apr-drg_28;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Chirurgical;< 5
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;14
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;46
Aartselaar;11001.0;2630.0;02 Affections des yeux;Médical;< 5
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;190
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Médical;191
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Chirurgical;172
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;22
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;< 5
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;27
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;44
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;407
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;26
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Médical;5
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Chirurgical;< 5
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Médical;328
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Chirurgical;249
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;35
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;40
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;46
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;8
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Médical;39
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Chirurgical;28
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Médical;14
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Chirurgical;39
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Médical;10
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Chirurgical;10
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Médical;30
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Chirurgical;< 5
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;534
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Médical;< 5
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Chirurgical;< 5
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;15
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;6
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Médical;221
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Chirurgical;18
Anvers;11002.0;2000.0;00 Groupe résiduel;Autre;< 5
