commune;code_ins;code_postal;mdc;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00  Groupe résiduel;Chirurgical;7
Aartselaar;11001.0;2630.0;01  Système nerveux;Médical;161
Aartselaar;11001.0;2630.0;01  Système nerveux;Chirurgical;30
Aartselaar;11001.0;2630.0;02  Affections des yeux;Médical;6
Aartselaar;11001.0;2630.0;02  Affections des yeux;Chirurgical;21
Aartselaar;11001.0;2630.0;03  Nez, gorge, oreilles;Médical;45
Aartselaar;11001.0;2630.0;03  Nez, gorge, oreilles;Chirurgical;41
Aartselaar;11001.0;2630.0;04  Système respiratoire;Médical;172
Aartselaar;11001.0;2630.0;04  Système respiratoire;Chirurgical;13
Aartselaar;11001.0;2630.0;05  Système circulatoire;Médical;171
Aartselaar;11001.0;2630.0;05  Système circulatoire;Chirurgical;131
Aartselaar;11001.0;2630.0;06  Système digestif;Médical;122
Aartselaar;11001.0;2630.0;06  Système digestif;Chirurgical;98
Aartselaar;11001.0;2630.0;07  Foie, bile et pancréas;Médical;46
Aartselaar;11001.0;2630.0;07  Foie, bile et pancréas;Chirurgical;37
Aartselaar;11001.0;2630.0;08  Système musculaire et tissu conjonctif;Médical;80
Aartselaar;11001.0;2630.0;08  Système musculaire et tissu conjonctif;Chirurgical;267
Aartselaar;11001.0;2630.0;09  Peau, tissu sous-cutané, sein;Médical;29
Aartselaar;11001.0;2630.0;09  Peau, tissu sous-cutané, sein;Chirurgical;46
Aartselaar;11001.0;2630.0;10  Maladies endocriniennes, nutritives et du métabolisme;Médical;41
Aartselaar;11001.0;2630.0;10  Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;21
Aartselaar;11001.0;2630.0;11  Reins et voies urinaires;Médical;52
Aartselaar;11001.0;2630.0;11  Reins et voies urinaires;Chirurgical;55
Aartselaar;11001.0;2630.0;12  Organes génitaux masculins;Médical;10
Aartselaar;11001.0;2630.0;12  Organes génitaux masculins;Chirurgical;30
Aartselaar;11001.0;2630.0;13  Organes génitaux féminins;Médical;< 5
Aartselaar;11001.0;2630.0;13  Organes génitaux féminins;Chirurgical;60
Aartselaar;11001.0;2630.0;14  Grossesse et accouchement;Médical;121
Aartselaar;11001.0;2630.0;14  Grossesse et accouchement;Chirurgical;34
Aartselaar;11001.0;2630.0;15  Nouveau-nés, affections d'origine périnatale;Médical;14
Aartselaar;11001.0;2630.0;15  Nouveau-nés, affections d'origine périnatale;Chirurgical;< 5
Aartselaar;11001.0;2630.0;16  Sang et organes hématopoïétiques;Médical;25
Aartselaar;11001.0;2630.0;16  Sang et organes hématopoïétiques;Chirurgical;< 5
Aartselaar;11001.0;2630.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;81
Aartselaar;11001.0;2630.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Aartselaar;11001.0;2630.0;18  Maladies infectieuses et parasitaires;Médical;35
Aartselaar;11001.0;2630.0;18  Maladies infectieuses et parasitaires;Chirurgical;7
Aartselaar;11001.0;2630.0;19  Troubles mentaux;Médical;21
Aartselaar;11001.0;2630.0;20  Alcoolisme et usage de drogue;Médical;5
Aartselaar;11001.0;2630.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;22
Aartselaar;11001.0;2630.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;5
Aartselaar;11001.0;2630.0;22  Brûlures;Médical;< 5
Aartselaar;11001.0;2630.0;23  Facteurs influençant la santé;Médical;80
Aartselaar;11001.0;2630.0;23  Facteurs influençant la santé;Chirurgical;10
Aartselaar;11001.0;2630.0;24  Infections HIV;Médical;< 5
Aartselaar;11001.0;2630.0;25  Traumatismes multiples;Médical;< 5
Anvers;11002.0;2000.0;00  Groupe résiduel;Autre;6
Anvers;11002.0;2000.0;00  Groupe résiduel;Chirurgical;221
Anvers;11002.0;2000.0;01  Système nerveux;Médical;5 612
Anvers;11002.0;2000.0;01  Système nerveux;Chirurgical;704
Anvers;11002.0;2000.0;02  Affections des yeux;Médical;171
Anvers;11002.0;2000.0;02  Affections des yeux;Chirurgical;842
Anvers;11002.0;2000.0;03  Nez, gorge, oreilles;Médical;1 840
Anvers;11002.0;2000.0;03  Nez, gorge, oreilles;Chirurgical;1 870
Anvers;11002.0;2000.0;04  Système respiratoire;Médical;6 252
Anvers;11002.0;2000.0;04  Système respiratoire;Chirurgical;467
Anvers;11002.0;2000.0;05  Système circulatoire;Médical;5 576
Anvers;11002.0;2000.0;05  Système circulatoire;Chirurgical;3 591
Anvers;11002.0;2000.0;06  Système digestif;Médical;5 084
Anvers;11002.0;2000.0;06  Système digestif;Chirurgical;3 231
Anvers;11002.0;2000.0;07  Foie, bile et pancréas;Médical;1 343
Anvers;11002.0;2000.0;07  Foie, bile et pancréas;Chirurgical;1 052
Anvers;11002.0;2000.0;08  Système musculaire et tissu conjonctif;Médical;3 087
Anvers;11002.0;2000.0;08  Système musculaire et tissu conjonctif;Chirurgical;8 774
Anvers;11002.0;2000.0;09  Peau, tissu sous-cutané, sein;Médical;1 400
Anvers;11002.0;2000.0;09  Peau, tissu sous-cutané, sein;Chirurgical;1 615
Anvers;11002.0;2000.0;10  Maladies endocriniennes, nutritives et du métabolisme;Médical;1 740
Anvers;11002.0;2000.0;10  Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;810
Anvers;11002.0;2000.0;11  Reins et voies urinaires;Médical;2 172
Anvers;11002.0;2000.0;11  Reins et voies urinaires;Chirurgical;1 407
Anvers;11002.0;2000.0;12  Organes génitaux masculins;Médical;286
Anvers;11002.0;2000.0;12  Organes génitaux masculins;Chirurgical;827
Anvers;11002.0;2000.0;13  Organes génitaux féminins;Médical;164
Anvers;11002.0;2000.0;13  Organes génitaux féminins;Chirurgical;1 701
Anvers;11002.0;2000.0;14  Grossesse et accouchement;Médical;6 748
Anvers;11002.0;2000.0;14  Grossesse et accouchement;Chirurgical;1 533
Anvers;11002.0;2000.0;15  Nouveau-nés, affections d'origine périnatale;Médical;619
Anvers;11002.0;2000.0;15  Nouveau-nés, affections d'origine périnatale;Chirurgical;43
Anvers;11002.0;2000.0;16  Sang et organes hématopoïétiques;Médical;785
Anvers;11002.0;2000.0;16  Sang et organes hématopoïétiques;Chirurgical;97
Anvers;11002.0;2000.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;1 808
Anvers;11002.0;2000.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;178
Anvers;11002.0;2000.0;18  Maladies infectieuses et parasitaires;Médical;1 069
Anvers;11002.0;2000.0;18  Maladies infectieuses et parasitaires;Chirurgical;121
Anvers;11002.0;2000.0;19  Troubles mentaux;Médical;1 048
Anvers;11002.0;2000.0;19  Troubles mentaux;Chirurgical;41
Anvers;11002.0;2000.0;20  Alcoolisme et usage de drogue;Médical;501
Anvers;11002.0;2000.0;20  Alcoolisme et usage de drogue;Chirurgical;6
Anvers;11002.0;2000.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;864
Anvers;11002.0;2000.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;355
Anvers;11002.0;2000.0;22  Brûlures;Médical;75
Anvers;11002.0;2000.0;22  Brûlures;Chirurgical;56
Anvers;11002.0;2000.0;23  Facteurs influençant la santé;Autre;6
Anvers;11002.0;2000.0;23  Facteurs influençant la santé;Médical;3 549
Anvers;11002.0;2000.0;23  Facteurs influençant la santé;Chirurgical;286
Anvers;11002.0;2000.0;24  Infections HIV;Médical;102
Anvers;11002.0;2000.0;24  Infections HIV;Chirurgical;17
Anvers;11002.0;2000.0;25  Traumatismes multiples;Médical;37
Anvers;11002.0;2000.0;25  Traumatismes multiples;Chirurgical;47
Boechout;11004.0;2530.0;00  Groupe résiduel;Chirurgical;< 5
Boechout;11004.0;2530.0;01  Système nerveux;Médical;120
Boechout;11004.0;2530.0;01  Système nerveux;Chirurgical;29
Boechout;11004.0;2530.0;02  Affections des yeux;Médical;< 5
Boechout;11004.0;2530.0;02  Affections des yeux;Chirurgical;20
Boechout;11004.0;2530.0;03  Nez, gorge, oreilles;Médical;42
Boechout;11004.0;2530.0;03  Nez, gorge, oreilles;Chirurgical;40
Boechout;11004.0;2530.0;04  Système respiratoire;Médical;130
Boechout;11004.0;2530.0;04  Système respiratoire;Chirurgical;5
Boechout;11004.0;2530.0;05  Système circulatoire;Médical;125
Boechout;11004.0;2530.0;05  Système circulatoire;Chirurgical;69
Boechout;11004.0;2530.0;06  Système digestif;Médical;97
Boechout;11004.0;2530.0;06  Système digestif;Chirurgical;83
Boechout;11004.0;2530.0;07  Foie, bile et pancréas;Médical;18
Boechout;11004.0;2530.0;07  Foie, bile et pancréas;Chirurgical;21
Boechout;11004.0;2530.0;08  Système musculaire et tissu conjonctif;Médical;77
Boechout;11004.0;2530.0;08  Système musculaire et tissu conjonctif;Chirurgical;199
Boechout;11004.0;2530.0;09  Peau, tissu sous-cutané, sein;Médical;31
Boechout;11004.0;2530.0;09  Peau, tissu sous-cutané, sein;Chirurgical;44
Boechout;11004.0;2530.0;10  Maladies endocriniennes, nutritives et du métabolisme;Médical;44
Boechout;11004.0;2530.0;10  Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;14
Boechout;11004.0;2530.0;11  Reins et voies urinaires;Médical;39
Boechout;11004.0;2530.0;11  Reins et voies urinaires;Chirurgical;32
Boechout;11004.0;2530.0;12  Organes génitaux masculins;Médical;< 5
Boechout;11004.0;2530.0;12  Organes génitaux masculins;Chirurgical;23
Boechout;11004.0;2530.0;13  Organes génitaux féminins;Médical;< 5
Boechout;11004.0;2530.0;13  Organes génitaux féminins;Chirurgical;56
Boechout;11004.0;2530.0;14  Grossesse et accouchement;Médical;87
Boechout;11004.0;2530.0;14  Grossesse et accouchement;Chirurgical;35
Boechout;11004.0;2530.0;15  Nouveau-nés, affections d'origine périnatale;Médical;7
Boechout;11004.0;2530.0;16  Sang et organes hématopoïétiques;Médical;30
Boechout;11004.0;2530.0;16  Sang et organes hématopoïétiques;Chirurgical;< 5
Boechout;11004.0;2530.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;56
Boechout;11004.0;2530.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Boechout;11004.0;2530.0;18  Maladies infectieuses et parasitaires;Médical;20
Boechout;11004.0;2530.0;18  Maladies infectieuses et parasitaires;Chirurgical;5
Boechout;11004.0;2530.0;19  Troubles mentaux;Médical;18
Boechout;11004.0;2530.0;20  Alcoolisme et usage de drogue;Médical;13
Boechout;11004.0;2530.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;15
Boechout;11004.0;2530.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;6
Boechout;11004.0;2530.0;22  Brûlures;Chirurgical;< 5
Boechout;11004.0;2530.0;23  Facteurs influençant la santé;Médical;56
Boechout;11004.0;2530.0;23  Facteurs influençant la santé;Chirurgical;6
Boechout;11004.0;2530.0;25  Traumatismes multiples;Chirurgical;< 5
Boom;11005.0;2850.0;00  Groupe résiduel;Chirurgical;6
Boom;11005.0;2850.0;01  Système nerveux;Médical;141
Boom;11005.0;2850.0;01  Système nerveux;Chirurgical;36
Boom;11005.0;2850.0;02  Affections des yeux;Médical;8
Boom;11005.0;2850.0;02  Affections des yeux;Chirurgical;27
Boom;11005.0;2850.0;03  Nez, gorge, oreilles;Médical;45
Boom;11005.0;2850.0;03  Nez, gorge, oreilles;Chirurgical;60
Boom;11005.0;2850.0;04  Système respiratoire;Médical;210
Boom;11005.0;2850.0;04  Système respiratoire;Chirurgical;16
Boom;11005.0;2850.0;05  Système circulatoire;Médical;249
Boom;11005.0;2850.0;05  Système circulatoire;Chirurgical;168
Boom;11005.0;2850.0;06  Système digestif;Médical;167
Boom;11005.0;2850.0;06  Système digestif;Chirurgical;131
Boom;11005.0;2850.0;07  Foie, bile et pancréas;Médical;55
Boom;11005.0;2850.0;07  Foie, bile et pancréas;Chirurgical;39
Boom;11005.0;2850.0;08  Système musculaire et tissu conjonctif;Médical;139
Boom;11005.0;2850.0;08  Système musculaire et tissu conjonctif;Chirurgical;392
Boom;11005.0;2850.0;09  Peau, tissu sous-cutané, sein;Médical;67
Boom;11005.0;2850.0;09  Peau, tissu sous-cutané, sein;Chirurgical;53
Boom;11005.0;2850.0;10  Maladies endocriniennes, nutritives et du métabolisme;Médical;50
Boom;11005.0;2850.0;10  Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;23
Boom;11005.0;2850.0;11  Reins et voies urinaires;Médical;95
Boom;11005.0;2850.0;11  Reins et voies urinaires;Chirurgical;59
Boom;11005.0;2850.0;12  Organes génitaux masculins;Médical;5
Boom;11005.0;2850.0;12  Organes génitaux masculins;Chirurgical;24
Boom;11005.0;2850.0;13  Organes génitaux féminins;Médical;12
Boom;11005.0;2850.0;13  Organes génitaux féminins;Chirurgical;83
Boom;11005.0;2850.0;14  Grossesse et accouchement;Médical;198
Boom;11005.0;2850.0;14  Grossesse et accouchement;Chirurgical;63
Boom;11005.0;2850.0;15  Nouveau-nés, affections d'origine périnatale;Médical;21
Boom;11005.0;2850.0;16  Sang et organes hématopoïétiques;Médical;36
Boom;11005.0;2850.0;16  Sang et organes hématopoïétiques;Chirurgical;< 5
Boom;11005.0;2850.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;81
Boom;11005.0;2850.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Boom;11005.0;2850.0;18  Maladies infectieuses et parasitaires;Médical;37
Boom;11005.0;2850.0;18  Maladies infectieuses et parasitaires;Chirurgical;11
Boom;11005.0;2850.0;19  Troubles mentaux;Médical;20
Boom;11005.0;2850.0;20  Alcoolisme et usage de drogue;Médical;9
Boom;11005.0;2850.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;40
Boom;11005.0;2850.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;21
Boom;11005.0;2850.0;22  Brûlures;Médical;< 5
Boom;11005.0;2850.0;22  Brûlures;Chirurgical;< 5
Boom;11005.0;2850.0;23  Facteurs influençant la santé;Médical;105
Boom;11005.0;2850.0;23  Facteurs influençant la santé;Chirurgical;5
Boom;11005.0;2850.0;24  Infections HIV;Médical;< 5
Boom;11005.0;2850.0;25  Traumatismes multiples;Médical;< 5
Borsbeek;11007.0;2150.0;00  Groupe résiduel;Chirurgical;< 5
Borsbeek;11007.0;2150.0;01  Système nerveux;Médical;139
Borsbeek;11007.0;2150.0;01  Système nerveux;Chirurgical;14
Borsbeek;11007.0;2150.0;02  Affections des yeux;Médical;6
Borsbeek;11007.0;2150.0;02  Affections des yeux;Chirurgical;8
Borsbeek;11007.0;2150.0;03  Nez, gorge, oreilles;Médical;25
Borsbeek;11007.0;2150.0;03  Nez, gorge, oreilles;Chirurgical;33
Borsbeek;11007.0;2150.0;04  Système respiratoire;Médical;112
Borsbeek;11007.0;2150.0;04  Système respiratoire;Chirurgical;5
Borsbeek;11007.0;2150.0;05  Système circulatoire;Médical;138
Borsbeek;11007.0;2150.0;05  Système circulatoire;Chirurgical;98
Borsbeek;11007.0;2150.0;06  Système digestif;Médical;95
Borsbeek;11007.0;2150.0;06  Système digestif;Chirurgical;56
Borsbeek;11007.0;2150.0;07  Foie, bile et pancréas;Médical;22
Borsbeek;11007.0;2150.0;07  Foie, bile et pancréas;Chirurgical;19
Borsbeek;11007.0;2150.0;08  Système musculaire et tissu conjonctif;Médical;60
Borsbeek;11007.0;2150.0;08  Système musculaire et tissu conjonctif;Chirurgical;172
Borsbeek;11007.0;2150.0;09  Peau, tissu sous-cutané, sein;Médical;28
Borsbeek;11007.0;2150.0;09  Peau, tissu sous-cutané, sein;Chirurgical;45
Borsbeek;11007.0;2150.0;10  Maladies endocriniennes, nutritives et du métabolisme;Médical;22
Borsbeek;11007.0;2150.0;10  Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;11
Borsbeek;11007.0;2150.0;11  Reins et voies urinaires;Médical;33
Borsbeek;11007.0;2150.0;11  Reins et voies urinaires;Chirurgical;25
Borsbeek;11007.0;2150.0;12  Organes génitaux masculins;Médical;5
Borsbeek;11007.0;2150.0;12  Organes génitaux masculins;Chirurgical;27
Borsbeek;11007.0;2150.0;13  Organes génitaux féminins;Médical;< 5
Borsbeek;11007.0;2150.0;13  Organes génitaux féminins;Chirurgical;39
Borsbeek;11007.0;2150.0;14  Grossesse et accouchement;Médical;109
Borsbeek;11007.0;2150.0;14  Grossesse et accouchement;Chirurgical;24
Borsbeek;11007.0;2150.0;15  Nouveau-nés, affections d'origine périnatale;Médical;17
Borsbeek;11007.0;2150.0;16  Sang et organes hématopoïétiques;Médical;10
Borsbeek;11007.0;2150.0;16  Sang et organes hématopoïétiques;Chirurgical;< 5
Borsbeek;11007.0;2150.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;21
Borsbeek;11007.0;2150.0;17  Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;10
Borsbeek;11007.0;2150.0;18  Maladies infectieuses et parasitaires;Médical;18
Borsbeek;11007.0;2150.0;18  Maladies infectieuses et parasitaires;Chirurgical;< 5
Borsbeek;11007.0;2150.0;19  Troubles mentaux;Médical;21
Borsbeek;11007.0;2150.0;20  Alcoolisme et usage de drogue;Médical;< 5
Borsbeek;11007.0;2150.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;13
Borsbeek;11007.0;2150.0;21  Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;7
Borsbeek;11007.0;2150.0;22  Brûlures;Médical;< 5
Borsbeek;11007.0;2150.0;23  Facteurs influençant la santé;Médical;59
Borsbeek;11007.0;2150.0;23  Facteurs influençant la santé;Chirurgical;< 5
Brasschaat;11008.0;2930.0;00  Groupe résiduel;Chirurgical;10
Brasschaat;11008.0;2930.0;01  Système nerveux;Médical;416
