gemeente;nis_code;postcode;mdc_apr-drg_28;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;7
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;13
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;34
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;187
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;191
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;160
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;22
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;46
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;37
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;439
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;20
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;8
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;207
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;229
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;33
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;35
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;57
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;11
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;41
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;23
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;12
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;28
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;< 5
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;14
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;27
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;548
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;5
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;312
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;26
Aartselaar;11001.0;2630.0;SS Speciale DRG's;Andere;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Chirurgisch;184
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Medisch;429
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Chirurgisch;1.078
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Medisch;49
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Chirurgisch;6.710
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Medisch;6.497
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Chirurgisch;6.435
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Medisch;438
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Chirurgisch;40
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Medisch;1.091
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Chirurgisch;1.053
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Medisch;6.319
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Chirurgisch;1.152
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Medisch;383
Antwerpen;11002.0;2000.0;07 Lever, gal en pancreas;Chirurgisch;23
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Medisch;3.909
Antwerpen;11002.0;2000.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;6.284
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Medisch;1.579
Antwerpen;11002.0;2000.0;09 Huid, subcutis, borstklier;Chirurgisch;1.141
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;74
Antwerpen;11002.0;2000.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;9
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Medisch;1.270
Antwerpen;11002.0;2000.0;11 Nieren en urinewegen;Chirurgisch;307
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Medisch;720
Antwerpen;11002.0;2000.0;12 Mannelijke geslachtsorganen;Chirurgisch;2.608
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Medisch;597
Antwerpen;11002.0;2000.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;1.331
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Medisch;341
Antwerpen;11002.0;2000.0;14 Zwangerschap en bevalling;Chirurgisch;855
Antwerpen;11002.0;2000.0;15 Neonati, perinatale aandoeningen;Medisch;5
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Medisch;1.087
Antwerpen;11002.0;2000.0;16 Bloed en bloedvormende organen;Chirurgisch;37
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;15.109
Antwerpen;11002.0;2000.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;72
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Medisch;27
Antwerpen;11002.0;2000.0;18 Infectie en parasitaire ziekten;Chirurgisch;20
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Medisch;34
Antwerpen;11002.0;2000.0;19 Psychische stoornissen;Chirurgisch;< 5
Antwerpen;11002.0;2000.0;20 Alcohol en druggebruik;Medisch;82
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;143
Antwerpen;11002.0;2000.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;104
Antwerpen;11002.0;2000.0;22 Brandwonden;Medisch;< 5
Antwerpen;11002.0;2000.0;22 Brandwonden;Chirurgisch;12
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Medisch;11.801
Antwerpen;11002.0;2000.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;1.037
Antwerpen;11002.0;2000.0;24 HIV infecties;Medisch;16
Antwerpen;11002.0;2000.0;25 Multipele traumata;Medisch;< 5
Antwerpen;11002.0;2000.0;SS Speciale DRG's;Andere;427
Boechout;11004.0;2530.0;00 Restgroep;Chirurgisch;< 5
Boechout;11004.0;2530.0;01 Zenuwstelsel;Medisch;19
Boechout;11004.0;2530.0;01 Zenuwstelsel;Chirurgisch;38
Boechout;11004.0;2530.0;02 Oogaandoeningen;Medisch;< 5
Boechout;11004.0;2530.0;02 Oogaandoeningen;Chirurgisch;159
Boechout;11004.0;2530.0;03 Neus, keel en oren;Medisch;189
Boechout;11004.0;2530.0;03 Neus, keel en oren;Chirurgisch;148
