commune;code_ins;code_postal;mdc_apr-drg_28;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Autre;< 5
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Chirurgical;15
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;153
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;31
Aartselaar;11001.0;2630.0;02 Affections des yeux;Médical;6
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;22
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Médical;84
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Chirurgical;47
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;174
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;6
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;196
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;132
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;138
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;101
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Médical;50
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Chirurgical;31
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Médical;89
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Chirurgical;277
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;37
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;40
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;54
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;20
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;63
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;40
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Médical;5
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Chirurgical;31
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Médical;< 5
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Chirurgical;56
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Médical;107
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Chirurgical;22
Aartselaar;11001.0;2630.0;15 Nouveau-nés, affections d'origine périnatale;Médical;5
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Médical;18
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;57
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;5
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Médical;37
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Chirurgical;< 5
Aartselaar;11001.0;2630.0;19 Troubles mentaux;Médical;11
Aartselaar;11001.0;2630.0;20 Alcoolisme et usage de drogue;Médical;8
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;14
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;9
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Médical;91
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Chirurgical;6
Aartselaar;11001.0;2630.0;25 Traumatismes multiples;Médical;5
Aartselaar;11001.0;2630.0;25 Traumatismes multiples;Chirurgical;< 5
Aartselaar;11001.0;2630.0;PP Pré-MDC;Chirurgical;8
Anvers;11002.0;2000.0;00 Groupe résiduel;Autre;5
Anvers;11002.0;2000.0;00 Groupe résiduel;Chirurgical;575
Anvers;11002.0;2000.0;01 Système nerveux;Médical;4.904
Anvers;11002.0;2000.0;01 Système nerveux;Chirurgical;607
Anvers;11002.0;2000.0;02 Affections des yeux;Médical;187
Anvers;11002.0;2000.0;02 Affections des yeux;Chirurgical;593
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles;Médical;3.089
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles;Chirurgical;1.850
Anvers;11002.0;2000.0;04 Système respiratoire;Médical;6.600
Anvers;11002.0;2000.0;04 Système respiratoire;Chirurgical;357
Anvers;11002.0;2000.0;05 Système circulatoire;Médical;5.178
Anvers;11002.0;2000.0;05 Système circulatoire;Chirurgical;3.330
Anvers;11002.0;2000.0;06 Système digestif;Médical;5.428
Anvers;11002.0;2000.0;06 Système digestif;Chirurgical;2.891
Anvers;11002.0;2000.0;07 Foie, bile et pancréas;Médical;1.284
Anvers;11002.0;2000.0;07 Foie, bile et pancréas;Chirurgical;1.075
Anvers;11002.0;2000.0;08 Système musculaire et tissu conjonctif;Médical;2.652
Anvers;11002.0;2000.0;08 Système musculaire et tissu conjonctif;Chirurgical;8.655
Anvers;11002.0;2000.0;09 Peau, tissu sous-cutané, sein;Médical;1.508
Anvers;11002.0;2000.0;09 Peau, tissu sous-cutané, sein;Chirurgical;1.402
Anvers;11002.0;2000.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;1.670
Anvers;11002.0;2000.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;848
Anvers;11002.0;2000.0;11 Reins et voies urinaires;Médical;2.283
Anvers;11002.0;2000.0;11 Reins et voies urinaires;Chirurgical;1.348
Anvers;11002.0;2000.0;12 Organes génitaux masculins;Médical;228
Anvers;11002.0;2000.0;12 Organes génitaux masculins;Chirurgical;718
Anvers;11002.0;2000.0;13 Organes génitaux féminins;Médical;179
Anvers;11002.0;2000.0;13 Organes génitaux féminins;Chirurgical;1.305
Anvers;11002.0;2000.0;14 Grossesse et accouchement;Médical;7.380
Anvers;11002.0;2000.0;14 Grossesse et accouchement;Chirurgical;1.920
Anvers;11002.0;2000.0;15 Nouveau-nés, affections d'origine périnatale;Médical;412
Anvers;11002.0;2000.0;15 Nouveau-nés, affections d'origine périnatale;Chirurgical;27
Anvers;11002.0;2000.0;16 Sang et organes hématopoïétiques;Médical;848
Anvers;11002.0;2000.0;16 Sang et organes hématopoïétiques;Chirurgical;51
Anvers;11002.0;2000.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;1.967
Anvers;11002.0;2000.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;160
Anvers;11002.0;2000.0;18 Maladies infectieuses et parasitaires;Médical;1.322
Anvers;11002.0;2000.0;18 Maladies infectieuses et parasitaires;Chirurgical;138
Anvers;11002.0;2000.0;19 Troubles mentaux;Médical;743
Anvers;11002.0;2000.0;19 Troubles mentaux;Chirurgical;14
Anvers;11002.0;2000.0;20 Alcoolisme et usage de drogue;Médical;526
Anvers;11002.0;2000.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;879
Anvers;11002.0;2000.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;192
Anvers;11002.0;2000.0;22 Brûlures;Médical;62
Anvers;11002.0;2000.0;22 Brûlures;Chirurgical;19
Anvers;11002.0;2000.0;23 Facteurs influençant la santé;Médical;3.716
Anvers;11002.0;2000.0;23 Facteurs influençant la santé;Chirurgical;191
Anvers;11002.0;2000.0;24 Infections HIV;Médical;70
Anvers;11002.0;2000.0;25 Traumatismes multiples;Médical;39
Anvers;11002.0;2000.0;25 Traumatismes multiples;Chirurgical;46
Anvers;11002.0;2000.0;PP Pré-MDC;Chirurgical;202
Boechout;11004.0;2530.0;00 Groupe résiduel;Chirurgical;7
Boechout;11004.0;2530.0;01 Système nerveux;Médical;101
Boechout;11004.0;2530.0;01 Système nerveux;Chirurgical;16
Boechout;11004.0;2530.0;02 Affections des yeux;Médical;6
Boechout;11004.0;2530.0;02 Affections des yeux;Chirurgical;9
Boechout;11004.0;2530.0;03 Nez, gorge, oreilles;Médical;65
Boechout;11004.0;2530.0;03 Nez, gorge, oreilles;Chirurgical;38
Boechout;11004.0;2530.0;04 Système respiratoire;Médical;141
Boechout;11004.0;2530.0;04 Système respiratoire;Chirurgical;6
Boechout;11004.0;2530.0;05 Système circulatoire;Médical;123
Boechout;11004.0;2530.0;05 Système circulatoire;Chirurgical;75
Boechout;11004.0;2530.0;06 Système digestif;Médical;104
Boechout;11004.0;2530.0;06 Système digestif;Chirurgical;72
Boechout;11004.0;2530.0;07 Foie, bile et pancréas;Médical;23
Boechout;11004.0;2530.0;07 Foie, bile et pancréas;Chirurgical;19
Boechout;11004.0;2530.0;08 Système musculaire et tissu conjonctif;Médical;57
Boechout;11004.0;2530.0;08 Système musculaire et tissu conjonctif;Chirurgical;248
Boechout;11004.0;2530.0;09 Peau, tissu sous-cutané, sein;Médical;38
Boechout;11004.0;2530.0;09 Peau, tissu sous-cutané, sein;Chirurgical;37
Boechout;11004.0;2530.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;23
Boechout;11004.0;2530.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;17
Boechout;11004.0;2530.0;11 Reins et voies urinaires;Médical;45
Boechout;11004.0;2530.0;11 Reins et voies urinaires;Chirurgical;40
Boechout;11004.0;2530.0;12 Organes génitaux masculins;Médical;< 5
Boechout;11004.0;2530.0;12 Organes génitaux masculins;Chirurgical;20
